url,title,original_title
https://www.imdb.com/title/tt0073486/?ref_=chttp_t_19,Vol au-dessus d'un nid de coucou,Titre original : One Flew Over the Cuckoo's Nest
https://www.imdb.com/title/tt0133093/?ref_=chttp_t_17,Matrix,Titre original : The Matrix
https://www.imdb.com/title/tt0099685/?ref_=chttp_t_18,Les affranchis,Titre original : Goodfellas
https://www.imdb.com/title/tt1375666/?ref_=chttp_t_15,Inception,
https://www.imdb.com/title/tt0137523/?ref_=chttp_t_14,Fight Club,
https://www.imdb.com/title/tt0167261/?ref_=chttp_t_13,Le Seigneur des anneaux : Les Deux Tours,Titre original : The Lord of the Rings: The Two Towers
https://www.imdb.com/title/tt0080684/?ref_=chttp_t_16,L'Empire contre-attaque,Titre original : Star Wars: Episode V - The Empire Strikes Back
https://www.imdb.com/title/tt15239678/?ref_=chttp_t_12,Dune: Deuxième partie,Titre original : Dune: Part Two
https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10,"Le bon, la brute et le truand","Titre original : Il buono, il brutto, il cattivo"
https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11,Forrest Gump,
https://www.imdb.com/title/tt0167260/?ref_=chttp_t_7,Le Seigneur des anneaux : Le Retour du roi,Titre original : The Lord of the Rings: The Return of the King
https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9,Le Seigneur des anneaux : La Communauté de l'anneau,Titre original : The Lord of the Rings: The Fellowship of the Ring
https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8,Pulp Fiction,
https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6,La liste de Schindler,Titre original : Schindler's List
https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5,12 Hommes en colère,Titre original : 12 Angry Men
https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2,Le Parrain,Titre original : The Godfather
https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3,The Dark Knight : Le Chevalier noir,Titre original : The Dark Knight
https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4,"Le Parrain, 2ᵉ partie",Titre original : The Godfather Part II
https://www.imdb.com/title/tt0476735/?ref_=chttp_t_234,Mon père et mon fils,Titre original : Babam ve Oglum
https://www.imdb.com/title/tt0046912/?ref_=chttp_t_162,Le crime était presque parfait,Titre original : Dial M for Murder
