url,title,years,nb_seasons,nb_episodes,episode_length,synopsis,mark,marks_nb
https://www.imdb.com/title/tt0187664/?ref_=chttvtp_i_199,Les allumés,1999–2001,2,14,25min,"Les amis Tim et Daisy, vivent dans le nord de Londres et ont un avenir incertain. Ils sont obligés à prétendre qu'ils sont en couple pour vivre dans le seul appartement qu'ils peuvent se per...","8,5",57 k
https://www.imdb.com/title/tt4158110/?ref_=chttvtp_i_198,Mr. Robot,2015–2019,4,45,49min,"Elliot, un jeune ingénieur en cyber sécurité brillant et très instable, devient un personnage clé dans un jeu complexe de domination du monde lorsqu'il tente avec ses alliés mystérieux de re...","8,5",416 k
https://www.imdb.com/title/tt2244495/?ref_=chttvtp_i_196,The Eric Andre Show,2012– ,6,69,11min,"Eric Andre tente d'animer un talk-show dans un endroit bizarre, où il est parfois le farceur et parfois la victime.","8,6",22 k
https://www.imdb.com/title/tt2100976/?ref_=chttvtp_i_195,Impractical Jokers,2011– ,10,284,30min,"Q, Sal, Joe et Murr, meilleurs amis, adorent lancer les challenges aux défis et aux tours les plus outrageux jamais filmés sur caméra caché.","8,6",45 k
https://www.imdb.com/title/tt0487831/?ref_=chttvtp_i_197,The IT Crowd,2006–2013,5,25,25min,"Les mésaventures comiques de Roy, Moss et de Jen, leur nouvelle responsable inexpérimentée, une équipe hétéroclite d'assistance informatique au sein d'une grande entreprise.","8,5",164 k
https://www.imdb.com/title/tt1534360/?ref_=chttvtp_i_200,Ezel,2009–2011,2,71,1h 30min,"Après avoir été trahi par ses amis et la femme qu'il aimait, Ömer Uçar revient sous le nom d'Ezel pour se venger.","8,7",37 k
https://www.imdb.com/title/tt2701582/?ref_=chttvtp_i_194,Les enquêtes de Morse,2012–2023,9,36,1h 29min,"Dans les années 1960, la série suit Endeavour Morse pendant ses débuts en tant que gendarme. Travaillant aux côtés de son associé principal, DI Fred Thursday, Morse mène l'enquête près d'Oxf...","8,6",33 k
https://www.imdb.com/title/tt0086831/?ref_=chttvtp_i_192,"Yes, Prime Minister",1986–1987,2,16,30min,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,"8,6",13 k
https://www.imdb.com/title/tt0423731/?ref_=chttvtp_i_193,Samurai chanpurû,2004–2005,,26,24min,"Fuu, une serveuse employée dans une maison de thé, sauve deux maîtres épéistes, Mugen et Jin, de leur exécution pour qu'ils l'aide à trouver le « samurai qui sent le tournesol ».","8,6",55 k
https://www.imdb.com/title/tt6108262/?ref_=chttvtp_i_191,Soleil noir,2017– ,2,20,1h,"Un film et thriller historique pendant la période turbulente de la fin des années 1920 dans les Balkans, où la politique, les intérêts locaux et les activités criminelles s'entremêlent.","8,9",12 k
https://www.imdb.com/title/tt0863046/?ref_=chttvtp_i_187,Flight of the Conchords,2007–2009,2,22,28min,"Bret et Jemaine sont Flight of the Conchords, un groupe folk-rock néo-zélandais vivant à New York en quête de célébrité.","8,6",66 k
https://www.imdb.com/title/tt9544034/?ref_=chttvtp_i_184,The Family Man,2019– ,3,20,45min,Un homme qui travaille pour une section spéciale de l'Agence Nationale d'Investigations tente de protéger la nation des terroristes et sa famille de l'impact de son travail stressant au sala...,"8,7",98 k
https://www.imdb.com/title/tt0237123/?ref_=chttvtp_i_189,Six sexy,2000–2004,4,28,30min,Six meilleurs amis parlent de tous les aspects du sexe et des relations dans leur quête sans fin pour trouver le véritable amour.,"8,6",48 k
https://www.imdb.com/title/tt5189670/?ref_=chttvtp_i_188,Making a Murderer,2015–2018,2,20,1h,"Filmé sur une période de 10 ans, Steven Avery, innocenté par un test d'ADN, se retrouve suspect principal d'un nouveau crime effroyable alors qu'il tente de dénoncer la corruption dans les f...","8,5",102 k
https://www.imdb.com/title/tt0314979/?ref_=chttvtp_i_185,Battlestar Galactica,2003,,2,3h 3min,"Suite à la destruction des Douze Colonies de Kobol par les Cylons, une flotte fugitive de chiffons des derniers restes de l'humanité fuit les Cylons qui les poursuivent tout en cherchant sim...","8,5",80 k
